"wav_file", "valence(energique)", "arousal(sentiment positif)", "selected", "elapsed_s", "rated_at"

Scr_op11_5_ReM.wav,-0.01,-1.99,yes,35.203,2026-02-02 16:13:15
Scr_op11_6_Sim.wav,-1.31,1.29,yes,14.234,2026-02-02 16:13:52
Scr_op11_4_Mim.wav,-2.06,-2.01,yes,11.469,2026-02-02 16:14:40
Scr_op69_1_part1.wav,0.99,0.01,yes,26.672,2026-02-02 16:15:38
Scr_op64_S7.wav,2.45,2.61,yes,6.359,2026-02-02 16:16:24
Scr_op68_S9.wav,-1.46,2.01,yes,10.719,2026-02-02 16:17:11
Scr_op8_12_Re_diese_m.wav,1.98,1.42,yes,10.563,2026-02-02 16:17:58
Scr_op8_5_MiM.wav,-1.01,1.02,yes,13.515,2026-02-02 16:18:45
Scr_op11_3_SolM.wav,0.98,2.44,yes,9.890,2026-02-02 16:19:33
Scr_op11_8_Fa_Diese_m.wav,-0.98,-1.99,yes,9.937,2026-02-02 16:20:13
Scr_op11_7_LaM.wav,2.50,2.48,yes,4.782,2026-02-02 16:20:38
Scr_op11_1_DoM.wav,0.51,1.98,yes,6.563,2026-02-02 16:21:21
Scr_op66_S8_p1.wav,-1.35,-2.95,yes,7.375,2026-02-02 16:22:07
Scr_op11_2_Lam.wav,-0.51,-2.51,yes,6.297,2026-02-02 16:22:42
Scr_op66_S8_p2.wav,0.02,2.67,yes,5.937,2026-02-02 16:23:23


Scr_op11_5_ReM.wav,0.73,-0.54,yes,32.844,2026-02-09 15:00:37
Scr_op69_1_part1.wav,-1.36,0.31,yes,11.750,2026-02-09 15:01:21
Scr_op66_S8_p2.wav,-1.44,2.89,yes,9.234,2026-02-09 15:02:05
Scr_op68_S9.wav,-2.77,0.11,yes,14.703,2026-02-09 15:02:55
Scr_op11_4_Mim.wav,-1.51,-1.01,yes,10.359,2026-02-09 15:03:42
Scr_op11_2_Lam.wav,-0.37,-0.79,yes,11.531,2026-02-09 15:04:23
Scr_op8_5_MiM.wav,1.97,1.64,yes,12.265,2026-02-09 15:05:09
Scr_op11_7_LaM.wav,1.99,2.72,yes,7.953,2026-02-09 15:05:37
Scr_op66_S8_p1.wav,-1.12,-1.98,yes,8.734,2026-02-09 15:06:23
Scr_op11_8_Fa_Diese_m.wav,-2.60,-2.89,yes,11.438,2026-02-09 15:07:04
Scr_op8_12_Re_diese_m.wav,-0.57,2.88,yes,7.921,2026-02-09 15:07:49
Scr_op64_S7.wav,-1.80,2.72,yes,7.422,2026-02-09 15:08:36
Scr_op11_6_Sim.wav,-0.16,0.39,yes,12.750,2026-02-09 15:09:11
Scr_op11_3_SolM.wav,2.74,2.15,yes,7.937,2026-02-09 15:09:58
Scr_op11_1_DoM.wav,2.79,1.53,yes,14.453,2026-02-09 15:10:49


Scr_op11_16_Si_bemol_m.wav,-1.17,1.74,yes,9.922,2026-02-09 15:16:56
Scr_op11_13_Fa_dieseM.wav,0.12,1.21,yes,9.594,2026-02-09 15:17:35
Scr_op11_22_Sol_m.wav,-2.47,0.50,yes,7.984,2026-02-09 15:18:15
Scr_op11_9_MiM.wav,0.91,-0.52,yes,10.125,2026-02-09 15:18:52
Scr_op11_23_Fa_M.wav,2.91,2.71,yes,10.437,2026-02-09 15:19:34
Scr_op13_2_Lam.wav,0.01,2.78,yes,9.547,2026-02-09 15:20:18
Scr_op13_3_SolM.wav,2.59,0.01,yes,9.359,2026-02-09 15:21:04
Scr_op74_2.wav,-2.88,2.64,yes,9.281,2026-02-09 15:21:48
Scr_op11_24_Re_m.wav,1.44,2.76,yes,9.485,2026-02-09 15:22:33
Scr_op11_11_SiM.wav,2.57,0.65,yes,5.812,2026-02-09 15:23:10
Scr_op11_17_La_bemol_M.wav,0.75,-0.22,yes,9.734,2026-02-09 15:23:52
Scr_op74_4.wav,-2.86,0.71,yes,11.438,2026-02-09 15:24:38
Scr_op11_14_Mi_bemol_m.wav,-1.01,1.50,yes,5.156,2026-02-09 15:25:21
Scr_op11_12_Sol_Diese_m.wav,-1.46,-1.33,yes,9.218,2026-02-09 15:26:02
Scr_op11_10_Do_Diese_m.wav,-1.20,0.07,yes,9.718,2026-02-09 15:26:41
Scr_op11_15_Re_bemol_M.wav,0.54,-2.08,yes,7.922,2026-02-09 15:27:22
Scr_op69_2_part1.wav,-0.69,-0.80,yes,14.781,2026-02-09 15:28:10




Scr_op11_4_Mim.wav,-0.35,-0.70,yes,13.985,2026-02-09 16:19:08
Scr_op11_5_ReM.wav,-0.52,1.01,yes,7.219,2026-02-09 16:19:55
Scr_op66_S8_p1.wav,-0.46,0.00,yes,4.078,2026-02-09 16:20:37
Scr_op68_S9.wav,1.13,1.24,yes,3.219,2026-02-09 16:21:16
Scr_op8_12_Re_diese_m.wav,2.26,2.42,yes,3.578,2026-02-09 16:21:56
Scr_op11_2_Lam.wav,0.93,-1.59,yes,3.297,2026-02-09 16:22:28
Scr_op11_3_SolM.wav,0.40,2.05,yes,2.094,2026-02-09 16:23:09
Scr_op11_1_DoM.wav,1.10,2.14,yes,2.594,2026-02-09 16:23:49
Scr_op11_8_Fa_Diese_m.wav,-1.04,-1.07,yes,4.157,2026-02-09 16:24:23
Scr_op11_6_Sim.wav,2.42,2.90,yes,5.937,2026-02-09 16:24:51
Scr_op8_5_MiM.wav,0.99,0.10,yes,2.875,2026-02-09 16:25:27
Scr_op64_S7.wav,0.99,2.93,yes,3.750,2026-02-09 16:26:10
Scr_op11_7_LaM.wav,2.20,0.04,yes,1.922,2026-02-09 16:26:32
Scr_op66_S8_p2.wav,2.33,1.59,yes,5.735,2026-02-09 16:27:13
Scr_op69_1_part1.wav,-0.49,-1.39,yes,2.563,2026-02-09 16:27:47
Scr_op11_5_ReM.wav,-0.99,-0.98,yes,3.860,2026-02-09 16:29:30
Scr_op8_5_MiM.wav,-0.98,1.02,yes,3.719,2026-02-09 16:30:07
Scr_op8_12_Re_diese_m.wav,1.03,-0.05,yes,1.719,2026-02-09 16:30:46
Scr_op11_8_Fa_Diese_m.wav,0.28,-1.84,yes,2.547,2026-02-09 16:31:17
Scr_op11_2_Lam.wav,0.03,-2.99,yes,2.687,2026-02-09 16:31:50
Scr_op66_S8_p1.wav,1.50,-1.34,yes,8.141,2026-02-09 16:32:36
Scr_op68_S9.wav,1.13,1.95,yes,1.735,2026-02-09 16:33:13
Scr_op11_6_Sim.wav,2.10,2.59,yes,2.031,2026-02-09 16:33:37
Scr_op11_4_Mim.wav,-1.50,1.25,yes,5.578,2026-02-09 16:34:19
Scr_op11_1_DoM.wav,2.87,1.53,yes,1.875,2026-02-09 16:34:58
Scr_op66_S8_p2.wav,-1.56,1.29,yes,3.250,2026-02-09 16:35:37
Scr_op64_S7.wav,1.87,1.11,yes,1.219,2026-02-09 16:36:17
Scr_op11_7_LaM.wav,1.59,-1.34,yes,2.766,2026-02-09 16:36:40
Scr_op69_1_part1.wav,-1.02,-1.75,yes,1.718,2026-02-09 16:37:14
Scr_op11_3_SolM.wav,2.55,2.81,yes,2.016,2026-02-09 16:37:55
